config,backend,dir,fstype,entries,commits,warmup,rep,boundaries_per_commit_x1000,clwb_lines,tsc_per_us,cyc_min,cyc_med,cyc_p90,cyc_p99,cyc_max,ns_min,ns_med,ns_p90,ns_p99,ns_max,total_boundary_cycles,total_prepare_cycles,wall_ns,boundary_share_x1000,wall_ns_per_commit,load1
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,2,1000,80000,2294,22,30,34,38,44,9,13,14,16,19,607232,5801726,88287665,31,4414,0.84
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,2,1000,0,2294,2116286,2125402,2127554,2163650,2282760,922530,926504,927442,943177,995100,42521410812,0,18658431993,993,932921,0.84
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,2,1000,0,2294,389850,450164,502464,1763770,2391384,169943,196235,219034,768862,1042451,9937074176,0,4822190421,898,241109,0.89
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,2,1000,280000,2294,24,26,28,30,34,10,11,12,13,14,522806,20274418,263601367,34,13180,0.90
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,2,1000,0,2294,2112614,2123580,2126340,2160602,2289774,920930,925710,926913,941849,998157,42482843632,0,18731840928,988,936592,0.90
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,2,1000,0,2294,377372,414690,469074,1708638,58649562,164503,180771,204478,744829,25566504,9378387782,0,4902559708,833,245127,0.93
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,32,20000,2000,2,1000,1000000,2294,22,26,28,30,76,9,11,12,13,33,522830,72616340,1021956594,31,51097,0.94
file-dax,file,"/mnt/pmem0.0/sean",ext4,32,20000,2000,2,1000,0,2294,2618882,2637172,2643536,2663370,3609948,1141622,1149595,1152369,1161015,1573647,52739671284,0,23586070972,974,1179303,0.94
file-block,file,"/home/users/u7599095",ext4,32,20000,2000,2,1000,0,2294,329948,389162,452082,1582232,2075460,143830,169643,197071,689726,904734,8687151994,0,5554128115,681,277706,0.96
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,56,20000,2000,2,1000,1720000,2294,22,26,28,30,64,9,11,12,13,27,519550,124821202,1744291081,31,87214,0.96
file-dax,file,"/mnt/pmem0.0/sean",ext4,56,20000,2000,2,1000,0,2294,2625090,2633792,2640540,2660236,3591508,1144328,1148122,1151063,1159649,1565609,52712087172,0,23911066968,960,1195553,0.97
file-block,file,"/home/users/u7599095",ext4,56,20000,2000,2,1000,0,2294,322386,380632,453092,1487420,66624804,140534,165925,197511,648395,29043070,8653999602,0,6159775049,612,307988,0.98
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,3,1000,80000,2294,22,30,32,36,38,9,13,13,15,16,603898,5754748,96226017,28,4811,0.98
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,3,1000,0,2294,2619860,2631308,2643688,2659844,3575464,1142048,1147039,1152435,1159478,1558615,52697523068,0,23099872484,994,1154993,0.98
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,3,1000,0,2294,385626,450676,505290,1770876,57192656,168102,196458,220265,771959,24931410,10089935416,0,4890956479,899,244547,0.99
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,3,1000,280000,2294,24,26,28,30,46,10,11,12,13,20,522610,20228582,281909950,32,14095,0.99
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,3,1000,0,2294,2620706,2634974,2643234,2662868,3637180,1142417,1148637,1152238,1160796,1585518,52718850970,0,23200144614,990,1160007,0.99
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,3,1000,0,2294,378320,414704,467682,1712474,3628012,164917,180777,203871,746501,1581522,9259467374,0,4850472731,832,242523,1.00
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,32,20000,2000,3,1000,1000000,2294,22,26,28,30,3782,9,11,12,13,1648,529048,72497516,1025400383,31,51270,1.00
file-dax,file,"/mnt/pmem0.0/sean",ext4,32,20000,2000,3,1000,0,2294,2620206,2637350,2641804,2661670,3574172,1142199,1149673,1151614,1160274,1558052,52750320822,0,23590499616,974,1179524,1.00
file-block,file,"/home/users/u7599095",ext4,32,20000,2000,3,1000,0,2294,334534,389666,451186,1587520,2591294,145829,169863,196680,692031,1129596,8689330118,0,5549674842,682,277483,1.00
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,56,20000,2000,3,1000,1720000,2294,24,26,28,30,46,10,11,12,13,20,520756,124906804,1640280919,33,82014,1.00
file-dax,file,"/mnt/pmem0.0/sean",ext4,56,20000,2000,3,1000,0,2294,2113902,2123586,2126686,2155552,2721230,921491,925713,927064,939647,1186238,42484896734,0,19439833590,952,971991,1.00
file-block,file,"/home/users/u7599095",ext4,56,20000,2000,3,1000,0,2294,320438,378086,451606,1459514,1956126,139685,164815,196863,636231,852714,8492771882,0,6139401239,603,306970,1.00
