config,backend,dir,fstype,entries,commits,warmup,rep,boundaries_per_commit_x1000,clwb_lines,tsc_per_us,cyc_min,cyc_med,cyc_p90,cyc_p99,cyc_max,ns_min,ns_med,ns_p90,ns_p99,ns_max,total_boundary_cycles,total_prepare_cycles,wall_ns,boundary_share_x1000,wall_ns_per_commit,load1,block_size
file-block,file,"/home/users/u7599095",ext4,24,20000,2000,1,1000,0,2294,332918,391020,448140,1607022,2056518,145125,170453,195353,700532,896476,8748800838,0,5296955920,719,264847,0.78,4096
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,2,1000,80000,2294,22,30,34,40,54,9,13,14,17,23,609924,5806778,89636305,31,4481,0.79,2048
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,2,1000,0,2294,11114,11774,12130,13132,49672,4844,5132,5287,5724,21653,237310008,0,249613676,414,12480,0.79,2048
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,2,1000,0,2294,355426,386708,429266,1703854,3086112,154937,168573,187125,742743,1345297,8591393994,0,4231285552,885,211564,0.79,2048
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,2,1000,280000,2294,24,26,28,30,68,10,11,12,13,29,524342,20246558,268414207,33,13420,0.81,2048
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,2,1000,0,2294,10516,11526,11808,12652,89584,4584,5024,5147,5515,39051,228580404,0,340336154,292,17016,0.81,2048
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,2,1000,0,2294,333942,362052,414484,1669710,59943328,145571,157825,180681,727859,26130482,8267262748,0,4413243547,816,220662,0.81,2048
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,24,20000,2000,2,1000,760000,2294,22,26,28,30,42,9,11,12,13,18,527380,54936406,745917371,32,37295,0.83,2048
file-dax,file,"/mnt/pmem0.0/sean",ext4,24,20000,2000,2,1000,0,2294,10254,11652,12084,12952,92934,4469,5079,5267,5646,40511,234319036,0,577178969,176,28858,0.84,2048
file-block,file,"/home/users/u7599095",ext4,24,20000,2000,2,1000,0,2294,299228,359430,407298,1613036,2537438,130439,156682,177549,703154,1106119,8021239430,0,4998014628,699,249900,0.84,2048
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,2,1000,80000,2294,22,30,32,36,76,9,13,13,15,33,604798,5760322,87881553,31,4394,0.85,4096
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,2,1000,0,2294,2116410,2126484,2129326,2165026,2270456,922585,926976,928215,943777,989736,42545709106,0,18669777690,993,933488,0.85,4096
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,2,1000,0,2294,380352,450984,505530,1771676,58083036,165802,196592,220370,772308,25319544,10084174676,0,4884581091,899,244229,0.90,4096
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,2,1000,280000,2294,22,26,28,30,44,9,11,12,13,19,522256,20244620,263298975,34,13164,0.90,4096
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,2,1000,0,2294,2116966,2125764,2128514,2164856,2270532,922827,926662,927861,943703,989769,42531625822,0,18754438299,988,937721,0.90,4096
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,2,1000,0,2294,374662,414188,467392,1724962,57167842,163322,180552,203745,751945,24920593,9360922168,0,4895553658,833,244777,0.93,4096
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,24,20000,2000,2,1000,760000,2294,22,26,28,30,32,9,11,12,13,13,526848,54995562,742940271,32,37147,0.94,4096
file-dax,file,"/mnt/pmem0.0/sean",ext4,24,20000,2000,2,1000,0,2294,2116576,2128130,2131292,2166576,3611856,922657,927693,929072,944453,1574479,42591432828,0,19020050123,976,951002,0.94,4096
file-block,file,"/home/users/u7599095",ext4,24,20000,2000,2,1000,0,2294,333378,390896,448198,1619914,2838160,145326,170399,195378,706152,1237210,8744491292,0,5290842821,720,264542,0.96,4096
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,3,1000,80000,2294,22,30,34,44,72,9,13,14,19,31,611998,5830156,89920441,31,4496,0.96,2048
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,3,1000,0,2294,10904,11758,12116,13092,48260,4753,5125,5281,5707,21037,237113432,0,249929820,413,12496,0.96,2048
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,3,1000,0,2294,355212,387730,432198,1683342,2188656,154843,169019,188403,733802,954078,8623062784,0,4245258512,885,212262,0.96,2048
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,3,1000,280000,2294,22,26,28,30,34,9,11,12,13,14,523142,20251820,269817075,33,13490,0.97,2048
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,3,1000,0,2294,10344,11524,12002,12950,89124,4509,5023,5231,5645,38850,230511514,0,342172378,293,17108,0.97,2048
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,3,1000,0,2294,333792,361572,415046,1647378,66549624,145506,157616,180926,718124,29010298,8272195536,0,4413340358,817,220667,0.97,2048
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,24,20000,2000,3,1000,760000,2294,22,26,28,30,48,9,11,12,13,20,527296,55117938,745553931,32,37277,0.97,2048
file-dax,file,"/mnt/pmem0.0/sean",ext4,24,20000,2000,3,1000,0,2294,10232,11578,11942,12824,94974,4460,5047,5205,5590,41401,232530676,0,577043444,175,28852,0.97,2048
file-block,file,"/home/users/u7599095",ext4,24,20000,2000,3,1000,0,2294,300788,359166,407216,1595078,1985712,131119,156567,177513,695326,865611,8004483270,0,4992091633,698,249604,0.97,2048
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,3,1000,80000,2294,22,30,32,36,42,9,13,13,15,18,605346,5768238,87556388,31,4377,0.97,4096
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,3,1000,0,2294,2120368,2128922,2131628,2168450,2316674,924310,928039,929218,945270,1009884,42593570364,0,18691676597,993,934583,0.97,4096
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,3,1000,0,2294,385626,450870,505720,1778714,64737428,168102,196543,220453,775376,28220326,10090542560,0,4887650145,899,244382,0.98,4096
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,3,1000,280000,2294,24,26,28,30,50,10,11,12,13,21,523486,20270328,264914905,34,13245,0.98,4096
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,3,1000,0,2294,2120338,2131184,2134518,2171166,2290990,924297,929025,930478,946454,998687,42641034154,0,18801670043,988,940083,0.98,4096
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,3,1000,0,2294,376792,414078,466164,1733536,63089850,164251,180504,203210,755682,27502114,9364555830,0,4896618585,833,244830,0.99,4096
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,24,20000,2000,3,1000,760000,2294,22,26,28,30,58,9,11,12,13,25,527020,55006228,753036265,32,37651,0.99,4096
file-dax,file,"/mnt/pmem0.0/sean",ext4,24,20000,2000,3,1000,0,2294,2116508,2130008,2133502,2170970,3774142,922627,928512,930035,946368,1645223,42642507434,0,19043916282,976,952195,0.99,4096
file-block,file,"/home/users/u7599095",ext4,24,20000,2000,3,1000,0,2294,337612,391658,449162,1623708,2453658,147171,170731,195798,707806,1069598,8765759816,0,5301947557,720,265097,1.00,4096
