config,backend,dir,fstype,entries,commits,warmup,rep,boundaries_per_commit_x1000,clwb_lines,tsc_per_us,cyc_min,cyc_med,cyc_p90,cyc_p99,cyc_max,ns_min,ns_med,ns_p90,ns_p99,ns_max,total_boundary_cycles,total_prepare_cycles,wall_ns,boundary_share_x1000,wall_ns_per_commit,load1,block_size,region_blocks
file-block,file,"/home/users/u7599095",ext4,24,20000,2000,2,1000,0,2294,295924,359052,408318,1592230,2755208,128999,156517,177993,694084,1201049,8007994924,0,5033917392,693,251695,0.85,2048,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,2,1000,80000,2294,24,30,32,36,58,10,13,13,15,25,585474,5727800,90103496,30,4505,0.86,4096,256
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,2,1000,0,2294,11492,12634,13328,13982,49010,5009,5507,5809,6095,21364,254420794,0,260893246,425,13044,0.86,4096,256
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,2,1000,0,2294,349220,390922,432070,1630640,64641818,152231,170410,188347,710828,28178647,8774243746,0,4316056663,886,215802,0.86,4096,256
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,2,1000,280000,2294,24,28,30,32,36,10,12,13,13,15,554136,20273732,270351272,33,13517,0.87,4096,256
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,2,1000,0,2294,10594,11642,12012,13030,85512,4618,5074,5236,5680,37276,234456892,0,341583877,299,17079,0.87,4096,256
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,2,1000,0,2294,331444,364940,414804,1610518,1937950,144482,159084,180821,702056,844790,8178021160,0,4387756498,812,219387,0.87,4096,256
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,24,20000,2000,2,1000,760000,2294,24,28,30,32,40,10,12,13,13,17,557756,54813384,767271347,31,38363,0.88,4096,256
file-dax,file,"/mnt/pmem0.0/sean",ext4,24,20000,2000,2,1000,0,2294,9924,11506,11804,12568,79460,4326,5015,5145,5478,34638,228266828,0,586153697,169,29307,0.88,4096,256
file-block,file,"/home/users/u7599095",ext4,24,20000,2000,2,1000,0,2294,304482,362050,411936,1541856,2273292,132729,157824,179571,672125,990972,8030967636,0,5046146635,693,252307,0.88,4096,256
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,2,1000,80000,2294,24,30,32,34,3538,10,13,13,14,1542,592576,5740642,91437058,30,4571,0.90,4096,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,2,1000,0,2294,2111986,2129844,2134636,2171050,3591514,920656,928441,930530,946403,1565612,42611121944,0,18700570007,993,935028,0.90,4096,512
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,2,1000,0,2294,268810,304330,334708,1286732,55798078,117179,132663,145905,560911,24323486,6813170928,0,3452953397,860,172647,0.93,4096,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,2,1000,280000,2294,24,28,30,32,36,10,12,13,13,15,551122,20246958,270978537,33,13548,0.93,4096,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,2,1000,0,2294,2115366,2125390,2128074,2163878,2258636,922129,926499,927669,943277,984584,42520646624,0,18752520548,988,937626,0.85,4096,512
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,2,1000,0,2294,249412,304216,333838,1479616,2730042,108723,132613,145526,644993,1190079,6712087578,0,3732178682,783,186608,0.90,4096,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,24,20000,2000,2,1000,760000,2294,24,28,30,32,38,10,12,13,13,16,557466,54891928,761318964,31,38065,0.90,4096,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,24,20000,2000,2,1000,0,2294,2116320,2125992,2128926,2165186,2493868,922545,926761,928040,943847,1087126,42533702676,0,19005866649,975,950293,0.90,4096,512
file-block,file,"/home/users/u7599095",ext4,24,20000,2000,2,1000,0,2294,240066,305524,342928,1358982,2543340,104649,133183,149489,592407,1108692,6763814588,0,4551482240,647,227574,0.93,4096,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,3,1000,80000,2294,24,30,32,36,44,10,13,13,15,19,588394,5761724,92009614,30,4600,0.94,2048,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,3,1000,0,2294,11060,11772,12096,12814,47976,4821,5131,5272,5585,20913,236397936,0,252414644,408,12620,0.94,2048,512
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,3,1000,0,2294,353310,386446,430158,1707278,57185842,154014,168459,187514,744236,24928440,8701926804,0,4286790960,884,214339,0.94,2048,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,3,1000,280000,2294,24,28,30,32,40,10,12,13,13,17,553276,20259490,273365634,33,13668,0.94,2048,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,3,1000,0,2294,10376,11760,12468,13280,76370,4523,5126,5435,5789,33291,235561890,0,347343350,295,17367,0.94,2048,512
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,3,1000,0,2294,328052,361304,414092,1647896,2243824,143004,157499,180510,718350,978127,8125737536,0,4364838491,811,218241,0.94,2048,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,24,20000,2000,3,1000,760000,2294,24,28,30,34,48,10,12,13,14,20,556306,54948458,763164985,31,38158,0.95,2048,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,24,20000,2000,3,1000,0,2294,10134,11468,11996,13064,77638,4417,4999,5229,5694,33843,231126936,0,588056935,171,29402,0.95,2048,512
file-block,file,"/home/users/u7599095",ext4,24,20000,2000,3,1000,0,2294,294650,359604,408478,1593702,64234504,128443,156758,178063,694726,28001091,8138493676,0,5091759198,696,254587,0.95,2048,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,3,1000,80000,2294,22,30,32,36,52,9,13,13,15,22,586370,5733280,90685632,30,4534,0.96,4096,256
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,3,1000,0,2294,11184,11934,12268,12966,50628,4875,5202,5347,5652,22069,239675310,0,253686680,411,12684,0.96,4096,256
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,3,1000,0,2294,354974,390186,431016,1624420,1984778,154740,170089,187888,708116,865204,8640621574,0,4260507725,884,213025,0.96,4096,256
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,3,1000,280000,2294,24,28,30,32,34,10,12,13,13,14,552900,20299786,269574712,33,13478,0.96,4096,256
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,3,1000,0,2294,10580,11558,11792,12574,86148,4612,5038,5140,5481,37553,232195854,0,339375667,298,16968,0.96,4096,256
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,3,1000,0,2294,329810,365944,414236,1618856,2417838,143770,159522,180573,705691,1053983,8184411360,0,4391517756,812,219575,0.96,4096,256
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,24,20000,2000,3,1000,760000,2294,24,28,30,32,38,10,12,13,13,16,558954,55107996,762344701,31,38117,0.96,4096,256
file-dax,file,"/mnt/pmem0.0/sean",ext4,24,20000,2000,3,1000,0,2294,9856,11388,11806,12518,79488,4296,4964,5146,5456,34650,226974864,0,586963479,168,29348,0.96,4096,256
file-block,file,"/home/users/u7599095",ext4,24,20000,2000,3,1000,0,2294,301616,360750,410640,1564222,68725336,131480,157258,179006,681875,29958734,8148523850,0,5092398717,697,254619,0.96,4096,256
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,3,1000,80000,2294,22,30,32,34,44,9,13,13,14,19,584830,5731638,90005989,30,4500,0.90,4096,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,3,1000,0,2294,2122490,2132010,2134682,2172038,3568372,925235,929385,930550,946834,1555523,42667809432,0,18724009831,993,936200,0.90,4096,512
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,3,1000,0,2294,264190,304090,334920,1288684,1836296,115165,132558,145998,561762,800477,6701790614,0,3402714312,858,170135,0.93,4096,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,3,1000,280000,2294,24,28,30,32,34,10,12,13,13,14,554580,20256152,266043629,34,13302,0.93,4096,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,3,1000,0,2294,2113722,2131714,2135514,2166846,3607422,921413,929256,930912,944571,1572546,42606071538,0,18791964767,988,939598,0.93,4096,512
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,3,1000,0,2294,251250,304310,334816,1492172,54063064,109524,132654,145952,650467,23567159,6808837428,0,3776014441,786,188800,0.95,4096,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,24,20000,2000,3,1000,760000,2294,24,28,30,32,50,10,12,13,13,21,558070,54919374,756045889,31,37802,0.96,4096,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,24,20000,2000,3,1000,0,2294,2118712,2131202,2134280,2168848,2274472,923588,929033,930374,945443,991487,42630511034,0,19048277489,975,952413,0.96,4096,512
file-block,file,"/home/users/u7599095",ext4,24,20000,2000,3,1000,0,2294,234264,304168,340492,1392568,172033330,102120,132592,148427,607047,74992733,7170102922,0,4726595943,661,236329,0.97,4096,512
