config,backend,dir,fstype,entries,commits,warmup,rep,boundaries_per_commit_x1000,clwb_lines,tsc_per_us,cyc_min,cyc_med,cyc_p90,cyc_p99,cyc_max,ns_min,ns_med,ns_p90,ns_p99,ns_max,total_boundary_cycles,total_prepare_cycles,wall_ns,boundary_share_x1000,wall_ns_per_commit,load1,block_size,region_blocks
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,1,1000,0,2294,261656,306176,335892,1495602,1880364,114061,133468,146421,651962,819687,6762927674,0,3760075111,784,188003,0.83,4096,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,24,20000,2000,1,1000,760000,2294,14,28,30,34,40,6,12,13,14,17,559974,54938222,812567600,29,40628,0.84,4096,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,24,20000,2000,1,1000,0,2294,2624310,2632020,2636372,2661546,2800830,1143988,1147349,1149246,1160220,1220937,52659571036,0,23425600768,979,1171280,0.84,4096,512
file-block,file,"/home/users/u7599095",ext4,24,20000,2000,1,1000,0,2294,239062,306952,345460,1380690,2349648,104211,133806,150592,601870,1024258,6793972900,0,4558512333,649,227925,0.90,4096,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,2,1000,80000,2294,22,30,32,34,3694,9,13,13,14,1610,588330,5725420,97729767,28,4886,0.90,4096,256
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,2,1000,0,2294,12498,13702,14580,15578,134560,5448,5972,6355,6790,58657,276709430,0,273894593,440,13694,0.90,4096,256
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,2,1000,0,2294,355134,391380,435262,1627788,67598786,154809,170610,189739,709585,29467648,8798459764,0,4330018876,885,216500,0.90,4096,256
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,2,1000,280000,2294,24,28,30,32,34,10,12,13,13,14,553736,20253274,285163106,31,14258,0.91,4096,256
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,2,1000,0,2294,12388,13850,14732,15732,117740,5400,6037,6421,6857,51325,279616818,0,364387332,334,18219,0.92,4096,256
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,2,1000,0,2294,338032,368494,418148,1648740,3541436,147354,160633,182278,718718,1543782,8241963970,0,4417103904,813,220855,0.92,4096,256
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,24,20000,2000,2,1000,760000,2294,16,28,30,34,46,6,12,13,14,20,556354,54949682,807937155,29,40396,0.93,4096,256
file-dax,file,"/mnt/pmem0.0/sean",ext4,24,20000,2000,2,1000,0,2294,12120,13922,15560,16878,81968,5283,6068,6782,7357,35731,283935248,0,618068480,200,30903,0.93,4096,256
file-block,file,"/home/users/u7599095",ext4,24,20000,2000,2,1000,0,2294,296662,363538,413184,1560518,3534312,129320,158473,180115,680260,1540676,8068324326,0,5060707128,694,253035,0.93,4096,256
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,2,1000,80000,2294,22,30,32,34,3880,9,13,13,14,1691,592490,5740378,97973347,28,4898,0.93,4096,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,2,1000,0,2294,2629490,2635794,2640010,2662066,3584580,1146246,1148994,1150832,1160447,1562589,52741482204,0,23122619889,994,1156130,0.93,4096,512
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,2,1000,0,2294,268618,307588,338932,1283492,1842672,117095,134083,147747,559499,803257,6779734780,0,3440185322,859,172009,0.96,4096,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,2,1000,280000,2294,24,28,30,32,48,10,12,13,13,20,555700,20391766,295996829,30,14799,0.96,4096,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,2,1000,0,2294,2620286,2628110,2632456,2658268,2756954,1142234,1145645,1147539,1158791,1201810,52583220000,0,23146811949,990,1157340,0.96,4096,512
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,2,1000,0,2294,252784,306856,337076,1484740,1839362,110193,133764,146938,647227,801814,6773008342,0,3763831252,784,188191,0.97,4096,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,24,20000,2000,2,1000,760000,2294,18,28,30,32,82,7,12,13,13,35,558602,55270974,815038818,29,40751,0.98,4096,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,24,20000,2000,2,1000,0,2294,2624134,2631330,2637542,2666538,3607850,1143911,1147048,1149756,1162396,1572733,52683546040,0,23440880801,979,1172044,0.98,4096,512
file-block,file,"/home/users/u7599095",ext4,24,20000,2000,2,1000,0,2294,243744,307350,346326,1386416,3172032,106252,133979,150970,604366,1382751,6822518136,0,4575596771,649,228779,0.99,4096,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,3,1000,80000,2294,24,30,32,36,58,10,13,13,15,25,586068,5738690,98382839,28,4919,0.99,4096,256
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,3,1000,0,2293,12772,14156,15008,16538,118852,5569,6173,6545,7212,51832,285320806,0,277263423,448,13863,0.99,4096,256
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,3,1000,0,2294,353516,391582,435152,1637748,67379164,154104,170698,189691,713926,29371911,8803815454,0,4332726116,885,216636,0.99,4096,256
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,3,1000,280000,2294,24,28,30,32,54,10,12,13,13,23,556200,20319354,285218072,31,14260,0.99,4096,256
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,3,1000,0,2294,12390,13600,14556,15664,113748,5401,5928,6345,6828,49585,275265778,0,364147120,329,18207,0.99,4096,256
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,3,1000,0,2294,339432,367466,418562,1640862,2385140,147965,160185,182459,715284,1039729,8220494994,0,4408914803,812,220445,0.99,4096,256
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,24,20000,2000,3,1000,760000,2294,16,28,30,32,46,6,12,13,13,20,556270,54938224,804538613,30,40226,0.99,4096,256
file-dax,file,"/mnt/pmem0.0/sean",ext4,24,20000,2000,3,1000,0,2294,12076,13854,15450,16684,85638,5264,6039,6734,7272,37331,283359244,0,616852623,200,30842,0.99,4096,256
file-block,file,"/home/users/u7599095",ext4,24,20000,2000,3,1000,0,2294,297622,364670,415816,1548544,2228084,129739,158966,181262,675040,971265,8089129188,0,5065685306,696,253284,0.99,4096,256
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,3,1000,80000,2294,24,30,32,34,40,10,13,13,14,17,583824,5753510,98071387,28,4903,0.99,4096,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,3,1000,0,2294,2627256,2634598,2638630,2662620,3584146,1145272,1148473,1150231,1160688,1562400,52718085548,0,23112732549,994,1155636,0.99,4096,512
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,3,1000,0,2294,274650,307610,338814,1291814,1831078,119725,134093,147695,563127,798203,6782345482,0,3441001285,859,172050,1.00,4096,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,3,1000,280000,2294,24,28,30,32,3582,10,12,13,13,1561,556818,20213930,292722645,30,14636,1.00,4096,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,3,1000,0,2294,2618496,2626694,2631336,2655474,2768508,1141454,1145027,1147051,1157573,1206847,52551876158,0,23132736697,990,1156636,1.00,4096,512
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,3,1000,0,2294,257692,305976,336996,1471660,1861964,112333,133380,146903,641525,811666,6755025752,0,3756715806,783,187835,1.00,4096,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,24,20000,2000,3,1000,760000,2294,20,28,30,32,40,8,12,13,13,17,559124,54830668,809587295,29,40479,1.00,4096,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,24,20000,2000,3,1000,0,2294,2621354,2629754,2634970,2664354,3571010,1142700,1146361,1148635,1161444,1556673,52635805292,0,23418217729,979,1170910,0.92,4096,512
file-block,file,"/home/users/u7599095",ext4,24,20000,2000,3,1000,0,2294,241084,309166,347424,1364346,2347682,105093,134771,151448,594745,1023401,6837834606,0,4578833726,650,228941,0.95,4096,512
